Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
FaceBookSignUp,Chrome 72.0.3626.109,,2019-03-02 03:26:48,2019-03-02 03:29:03,2m - 14.568s,PASSED
,,,,,,
Test Cases/Facebook Signup/Failed if All Field Value Blank,Chrome 72.0.3626.109,,2019-03-02 03:26:49,2019-03-02 03:27:18,29.421s,PASSED
openBrowser,Chrome 72.0.3626.109,,2019-03-02 03:26:49,2019-03-02 03:26:58,8.694s,PASSED
navigateToUrl,Chrome 72.0.3626.109,,2019-03-02 03:26:58,2019-03-02 03:27:17,18.900s,PASSED
waitForElementPresent,Chrome 72.0.3626.109,,2019-03-02 03:27:17,2019-03-02 03:27:17,0.118s,PASSED
click,Chrome 72.0.3626.109,,2019-03-02 03:27:17,2019-03-02 03:27:17,0.710s,PASSED
verifyElementPresent,Chrome 72.0.3626.109,,2019-03-02 03:27:17,2019-03-02 03:27:18,0.160s,PASSED
verifyElementPresent,Chrome 72.0.3626.109,,2019-03-02 03:27:18,2019-03-02 03:27:18,0.177s,PASSED
verifyElementPresent,Chrome 72.0.3626.109,,2019-03-02 03:27:18,2019-03-02 03:27:18,0.149s,PASSED
verifyElementPresent,Chrome 72.0.3626.109,,2019-03-02 03:27:18,2019-03-02 03:27:18,0.058s,PASSED
verifyElementPresent,Chrome 72.0.3626.109,,2019-03-02 03:27:18,2019-03-02 03:27:18,0.056s,PASSED
,,,,,,
Test Cases/Facebook Signup/Failed if Re-Enter Email not Match,Chrome 72.0.3626.109,,2019-03-02 03:27:18,2019-03-02 03:27:51,32.480s,PASSED
openBrowser,Chrome 72.0.3626.109,,2019-03-02 03:27:19,2019-03-02 03:27:34,15.243s,PASSED
navigateToUrl,Chrome 72.0.3626.109,,2019-03-02 03:27:34,2019-03-02 03:27:49,15.554s,PASSED
waitForElementPresent,Chrome 72.0.3626.109,,2019-03-02 03:27:49,2019-03-02 03:27:49,0.046s,PASSED
setText,Chrome 72.0.3626.109,,2019-03-02 03:27:49,2019-03-02 03:27:50,0.210s,PASSED
setText,Chrome 72.0.3626.109,,2019-03-02 03:27:50,2019-03-02 03:27:50,0.161s,PASSED
setText,Chrome 72.0.3626.109,,2019-03-02 03:27:50,2019-03-02 03:27:50,0.312s,PASSED
waitForElementPresent,Chrome 72.0.3626.109,,2019-03-02 03:27:50,2019-03-02 03:27:50,0.035s,PASSED
setText,Chrome 72.0.3626.109,,2019-03-02 03:27:50,2019-03-02 03:27:50,0.294s,PASSED
verifyElementPresent,Chrome 72.0.3626.109,,2019-03-02 03:27:50,2019-03-02 03:27:51,0.030s,PASSED
,,,,,,
Test Cases/Facebook Signup/Success Sign Up Facebook With Email,Chrome 72.0.3626.109,,2019-03-02 03:27:51,2019-03-02 03:28:22,31.920s,PASSED
openBrowser,Chrome 72.0.3626.109,,2019-03-02 03:27:51,2019-03-02 03:28:06,14.600s,PASSED
navigateToUrl,Chrome 72.0.3626.109,,2019-03-02 03:28:06,2019-03-02 03:28:19,13.770s,PASSED
waitForElementPresent,Chrome 72.0.3626.109,,2019-03-02 03:28:19,2019-03-02 03:28:19,0.049s,PASSED
setText,Chrome 72.0.3626.109,,2019-03-02 03:28:19,2019-03-02 03:28:19,0.166s,PASSED
setText,Chrome 72.0.3626.109,,2019-03-02 03:28:19,2019-03-02 03:28:20,0.134s,PASSED
setText,Chrome 72.0.3626.109,,2019-03-02 03:28:20,2019-03-02 03:28:20,0.273s,PASSED
waitForElementPresent,Chrome 72.0.3626.109,,2019-03-02 03:28:20,2019-03-02 03:28:20,0.023s,PASSED
setText,Chrome 72.0.3626.109,,2019-03-02 03:28:20,2019-03-02 03:28:20,0.306s,PASSED
setText,Chrome 72.0.3626.109,,2019-03-02 03:28:20,2019-03-02 03:28:20,0.196s,PASSED
selectOptionByIndex,Chrome 72.0.3626.109,,2019-03-02 03:28:20,2019-03-02 03:28:21,0.352s,PASSED
selectOptionByIndex,Chrome 72.0.3626.109,,2019-03-02 03:28:21,2019-03-02 03:28:21,0.171s,PASSED
selectOptionByValue,Chrome 72.0.3626.109,,2019-03-02 03:28:21,2019-03-02 03:28:22,1.214s,PASSED
waitForElementPresent,Chrome 72.0.3626.109,,2019-03-02 03:28:22,2019-03-02 03:28:22,0.021s,PASSED
click,Chrome 72.0.3626.109,,2019-03-02 03:28:22,2019-03-02 03:28:22,0.132s,PASSED
click,Chrome 72.0.3626.109,,2019-03-02 03:28:22,2019-03-02 03:28:22,0.115s,PASSED
,,,,,,
Test Cases/Facebook Signup/Success Sign Up Facebook With Phone Number,Chrome 72.0.3626.109,,2019-03-02 03:28:22,2019-03-02 03:28:52,29.876s,PASSED
openBrowser,Chrome 72.0.3626.109,,2019-03-02 03:28:23,2019-03-02 03:28:37,14.566s,PASSED
navigateToUrl,Chrome 72.0.3626.109,,2019-03-02 03:28:37,2019-03-02 03:28:49,11.749s,PASSED
waitForElementPresent,Chrome 72.0.3626.109,,2019-03-02 03:28:49,2019-03-02 03:28:49,0.046s,PASSED
setText,Chrome 72.0.3626.109,,2019-03-02 03:28:49,2019-03-02 03:28:49,0.220s,PASSED
setText,Chrome 72.0.3626.109,,2019-03-02 03:28:49,2019-03-02 03:28:50,0.226s,PASSED
setText,Chrome 72.0.3626.109,,2019-03-02 03:28:50,2019-03-02 03:28:50,0.217s,PASSED
setText,Chrome 72.0.3626.109,,2019-03-02 03:28:50,2019-03-02 03:28:50,0.173s,PASSED
selectOptionByIndex,Chrome 72.0.3626.109,,2019-03-02 03:28:50,2019-03-02 03:28:50,0.372s,PASSED
selectOptionByIndex,Chrome 72.0.3626.109,,2019-03-02 03:28:50,2019-03-02 03:28:51,0.257s,PASSED
selectOptionByValue,Chrome 72.0.3626.109,,2019-03-02 03:28:51,2019-03-02 03:28:52,1.469s,PASSED
waitForElementPresent,Chrome 72.0.3626.109,,2019-03-02 03:28:52,2019-03-02 03:28:52,0.024s,PASSED
click,Chrome 72.0.3626.109,,2019-03-02 03:28:52,2019-03-02 03:28:52,0.094s,PASSED
click,Chrome 72.0.3626.109,,2019-03-02 03:28:52,2019-03-02 03:28:52,0.119s,PASSED
